canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
COc1cc(F)ccc1-c1nc(Nc2cc(Cl)cc(CS(C)(=O)=NC#N)c2)ncc1F,463.89700000000016,4.906280000000003,1,7,100.26,0.521331918654324,3.4418686707650483,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,False,True,False,False,True,True,False,True,False,False,False
Nc1nccc(-n2cc(C3=CCOCC3)c3cnccc32)n1,293.33,2.2014000000000005,1,5,78.85,0.7832992030885915,3.0201574400269937,C1=C(c2cn(-c3ccncn3)c3ccncc23)CCOC1,False,True,False,False,False,False,False,True,False,False,False
O=C(O)c1cc(C(F)(F)F)ccc1NCCc1c[nH]c2cc(Br)ccc12,427.22,5.302000000000001,3,2,65.12,0.5178650108453023,2.297602566386738,c1ccc(NCCc2c[nH]c3ccccc23)cc1,True,True,True,False,True,False,True,True,False,False,False
O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)Nc1c(F)cccc1F,453.4530000000001,3.7074000000000016,4,5,110.96000000000001,0.36826539474480596,2.8437290261673507,O=C(Nc1ccccc1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1,False,False,True,True,True,False,False,True,False,False,True
CC(C)(C)c1cnc(CSc2cnc(NC3CCCC(N)C3)s2)o1,366.55600000000015,4.402700000000003,2,7,76.97,0.7637137369474282,3.7420355367692792,c1coc(CSc2cnc(NC3CCCCC3)s2)n1,False,True,False,False,False,False,False,False,False,False,False
Nc1nccc(-n2cc(-c3ccncc3)c3cnccc32)n1,288.314,2.4597000000000007,1,5,82.51,0.6123496395415828,2.5713077358849823,c1cc(-c2cn(-c3ccncn3)c3ccncc23)ccn1,False,True,False,False,False,False,False,True,False,False,False
C[C@@H](CO)Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,309.37000000000006,2.2085,3,8,122.72,0.6596375025883064,3.341308562101153,c1cc(OCC2CCCCC2)ncn1,True,True,False,False,False,False,False,True,False,False,False
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1.Cl.Cl,432.3550000000001,4.913400000000005,1,3,64.22,0.5002941977035746,2.6883854667987332,O=C(Nc1cn2cc(-n3ccnc3)ccc2n1)c1ccccc1,False,False,True,True,False,True,False,True,False,False,False
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(C(=O)Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)c2)cc1,561.6890000000002,6.350000000000005,3,8,126.22000000000001,0.1605279757248514,2.7813592305508195,O=C(Nc1cccc(C(=O)Nc2ncc(SCc3ncco3)s2)c1)c1ccccc1,False,False,True,True,False,False,False,True,False,False,False
Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3Cl)cc12,378.8630000000001,4.7322200000000025,3,4,73.83,0.4386843786084386,2.96738524577513,c1ccc(CNc2cncc(-c3ccc4[nH]ncc4c3)c2)cc1,True,True,False,False,False,True,False,True,False,False,False
C#CCN(C)CCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,530.6270000000002,4.722520000000004,1,7,75.0,0.330508525212058,3.4130673424389304,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,False,True,False,False,True,False,False,True,False,False,False
COc1cc(F)ccc1-c1ccnc(NC(=O)[C@H]2CCC[C@@H](NC(C)=O)C2)c1,385.43900000000025,3.529700000000002,2,4,80.32,0.8251529629555441,3.0015779674585366,O=C(Nc1cc(-c2ccccc2)ccn1)C1CCCCC1,False,False,True,True,True,False,False,True,False,False,False
Nc1cccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)c1,329.385,2.0498999999999996,4,5,126.88999999999997,0.5447916495594595,2.375226636879159,c1ccc(Nc2cc(-c3ccccc3)n[nH]2)cc1,False,True,False,False,False,False,False,True,False,False,False
O=C(O)c1ccc(C(=O)Nc2cc(C3CC3)[nH]n2)cc1,271.27599999999995,2.2375999999999996,3,3,95.08,0.7942547880612453,2.0323374986881397,O=C(Nc1cc(C2CC2)[nH]n1)c1ccccc1,True,False,True,True,False,False,False,True,False,False,False
CC(C)(C)c1cnc(CSc2cnc(NCC3CCCCC3)s2)o1,365.5680000000002,5.713100000000005,1,6,50.95,0.6641417535879524,2.8393471852609213,c1coc(CSc2cnc(NCC3CCCCC3)s2)n1,False,True,False,False,False,False,False,False,False,False,False
CC(C)N1CCN(C(=O)c2ccnc(Nc3cc(-c4ccc5nnn(C(C)C)c5c4)ccn3)c2)CC1,484.60800000000023,4.379000000000004,1,7,92.07000000000001,0.43418002291847474,2.7228541968419435,O=C(c1ccnc(Nc2cc(-c3ccc4nn[nH]c4c3)ccn2)c1)N1CCNCC1,False,True,True,True,False,False,False,True,False,True,False
N#Cc1cnc(NC2CCN(S(=O)(=O)c3ccccn3)CC2)nc1-c1cnn(CC(F)(F)F)c1,492.4870000000002,2.43428,1,8,129.69,0.5554662487574193,3.004459938576863,O=S(=O)(c1ccccn1)N1CCC(Nc2nccc(-c3cn[nH]c3)n2)CC1,False,True,False,False,True,False,False,True,True,False,False
CCS(=O)(Cc1cccc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1)=NC#N,443.47900000000016,4.642980000000003,1,7,100.25999999999999,0.5340059934738205,3.4321707002512003,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,False,True,False,False,True,False,False,True,False,False,False
CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,401.8460000000001,3.3046000000000015,3,6,94.14,0.6095989367593201,3.412837565990479,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,True,False,False,False,False,True,False,True,True,False,False
CC(C)(C)c1cc(NCc2ccncc2)n2ncc(Br)c2n1,360.259,3.796400000000003,1,4,55.11,0.7721016100106272,2.5428776996185203,c1cc(CNc2ccnc3ccnn23)ccn1,False,True,False,False,False,False,True,True,False,False,False
CCn1c(-c2nonc2N)nc2cnccc21,230.231,1.0834,1,6,95.65,0.7073094099366266,2.639489187806019,c1cc2[nH]c(-c3cnon3)nc2cn1,False,True,False,False,False,False,False,True,False,False,False
O=C(Cc1ccccc1)Nc1n[nH]c2ccc(N3CCCC3=O)cc12,334.37900000000013,2.8709000000000007,2,3,78.09,0.7699458968120992,2.18369823301542,O=C(Cc1ccccc1)Nc1n[nH]c2ccc(N3CCCC3=O)cc12,False,False,True,True,False,False,False,True,False,False,False
C[C@@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2Cc3ccccc3C2=O)cc1,386.4550000000001,4.189700000000003,2,3,78.09,0.6901267824900046,2.9294684558326143,O=C(Cc1ccc(N2Cc3ccccc3C2=O)cc1)Nc1cc(C2CC2)[nH]n1,False,False,True,True,False,False,False,True,False,False,False
