canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
COc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1Cl,352.821,4.905400000000003,2,4,64.35,0.5057620387648846,1.914240618625179,O=C(c1ccccc1)c1ccc(Nc2ccccc2)cc1,False,True,True,False,False,True,False,True,False,False,False
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccc(S(C)(=O)=O)cc2)n1,623.6950000000002,5.794300000000005,3,8,160.95999999999998,0.20995952140474194,2.9814040192147253,O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)cnc23)c2ccccc12)Nc1ccnn1-c1ccccc1,False,False,True,True,False,False,False,True,False,False,False
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C2(C)C,334.4190000000001,3.783920000000002,2,2,58.2,0.897192735167645,2.2986117712937,O=C1Cc2ccc(-c3cccc(C(=O)NC4CC4)c3)cc2N1,False,False,True,True,False,False,False,True,False,False,False
CC(C)Nc1ncc(-c2cc(-c3ccccc3Cl)nc(NCCN(C)C)n2)s1,416.9820000000002,4.714300000000003,2,7,65.97,0.5537280658229824,2.6013526274279997,c1ccc(-c2cc(-c3cncs3)ncn2)cc1,False,True,False,False,False,True,False,True,False,False,False
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)c3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,737.8649999999997,8.485200000000006,4,9,143.47999999999996,0.10279155107355807,3.198883487075795,O=C(Nc1ccc(Oc2ccnc(Nc3ccc4[nH]ncc4c3)c2)c2ccccc12)Nc1ccnn1-c1ccc(OCCN2CCOCC2)cc1,False,True,True,True,False,False,False,True,False,False,True
Fc1ccc(Oc2ccc3c(-c4cn[nH]c4)nncc3n2)c(F)c1,325.2780000000001,3.485400000000001,1,5,76.58,0.6238161773160156,2.722193243550457,c1ccc(Oc2ccc3c(-c4cn[nH]c4)nncc3n2)cc1,False,False,False,False,True,False,False,True,False,False,False
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(Cl)ccc3F)cn12,356.788,4.967200000000003,0,4,56.22,0.5198739352797321,2.7547723629372047,c1ccc(-c2ncoc2-c2ccc3nncn3c2)cc1,False,False,False,False,True,True,False,True,False,False,False
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NCCc3ccccc3)c2)s1,399.5630000000001,6.397520000000005,1,4,37.81,0.3907484833801004,2.3151834735574237,c1ccc(CCNc2cc(-c3scnc3-c3ccccc3)ccn2)cc1,False,True,False,False,False,False,False,True,False,False,False
CC(C)Cn1cnc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccccc3)nc21.CS(=O)(=O)O,469.61100000000016,4.9459000000000035,2,5,113.76,0.4090405740024932,2.7424754447066757,c1ccc(-c2nc[nH]c2-c2ccc3nc[nH]c3n2)cc1,True,False,False,False,False,False,False,True,False,False,False
Nc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,420.68700000000007,5.047300000000002,2,4,84.14,0.6075683981808745,2.6008711035384255,O=C1NCc2c(-c3ccccc3)ncnc2N1c1ccccc1,False,True,True,True,False,True,False,True,False,False,False
O=C(N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,540.519,1.5677000000000005,6,8,148.35000000000002,0.2858306078603089,3.8987771727962652,O=C(N[C@@H]1CCCOC1)c1ccc2c(c1)C(=O)c1ccc(Nc3ccccc3)cc1CC2,True,True,True,True,True,False,False,True,False,False,False
NCCNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccccc3N)cc1CC2,400.4820000000002,3.030500000000001,4,5,110.24,0.4922253677382928,2.3330071275503546,O=C1c2ccccc2CCc2cc(Nc3ccccc3)ccc21,False,True,True,True,False,False,False,True,False,False,False
