mol_id,chembl_id,smiles,ic50_nM,pIC50
mol_0366,CHEMBL1080893,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4cccc(Cl)c4)s3)cc12,17.0,7.77
mol_0367,CHEMBL5836990,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)C,17.0,7.77
mol_0368,CHEMBL409868,CN(C)C(=O)c1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,17.0,7.77
mol_0369,CHEMBL487066,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NC4CC4)cc3)n2)n1C(C)C,17.0,7.77
mol_0370,CHEMBL563641,CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)C(C)(C)C4)cc2)CC1,17.0,7.77
mol_0371,CHEMBL4462493,CCC(CC)n1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc21,17.4,7.76
mol_0372,CHEMBL103382,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1,17.4,7.76
mol_0373,CHEMBL5956134,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(C)(C)N)C5)ncc3F)cc2n1C(C)(C)C,18.0,7.75
mol_0374,CHEMBL451462,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)ncc2F)n1C(C)C,18.0,7.75
mol_0375,CHEMBL3648103,CCC(Sc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br)C(C)O,18.0,7.75
mol_0376,CHEMBL83775,COc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,18.0,7.75
mol_0377,CHEMBL442186,O=C1Nc2ccc(F)c3c(SC[C@@H]4CCCN4)cc(-c4ccc[nH]4)c1c23,18.0,7.75
mol_0378,CHEMBL5748748,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc6c(n5)CCN(C(=O)CO)C6)ncc4F)cc3n21,17.6,7.75
mol_0379,CHEMBL79364,O=C1Nc2ccc(F)c3c(OCCCO)cc(-c4ccc[nH]4)c1c23,18.0,7.75
mol_0380,CHEMBL5873158,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)(C)C,18.5,7.73
mol_0381,CHEMBL5758951,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN4CCC(B(O)O)CC4)C5)ncc3F)cc2n1C(C)(C)C,18.5,7.73
mol_0382,CHEMBL5189978,NCCCNCCCCNC(=O)c1ccc(Nc2nc(N[C@H]3CC[C@H](N)CC3)nc3c2ncn3C2CCCC2)cc1,19.0,7.72
mol_0383,CHEMBL272684,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(-c4cc[nH]n4)c32)cc1,19.0,7.72
mol_0384,CHEMBL457177,O=C(N[C@H]1CC[C@H](O)CC1)c1n[nH]cc1NC(=O)c1c(F)cccc1F,19.0,7.72
mol_0385,CHEMBL3648092,CCOC(=O)N=S(=O)(CC)c1ccc(Nc2ncc(Br)c(O[C@H](C)[C@H](C)O)n2)cc1,19.0,7.72
mol_0386,CHEMBL562104,CNC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,19.0,7.72
mol_0387,CHEMBL1080913,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(F)c(F)c4)s3)cc12,19.0,7.72
mol_0388,CHEMBL4438059,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CCCCC1,19.2,7.72
mol_0389,CHEMBL457979,Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)Cc4ccccc4)cc3)n2)n1C(C)C,19.0,7.72
mol_0390,CHEMBL2158845,NS(=O)(=O)c1cccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)c1,19.0,7.72
mol_0391,CHEMBL401377,Brc1cnn2c(NCc3ccncc3)cc(-c3ccccc3)nc12,20.0,7.7
mol_0392,CHEMBL6144593,O=C(NCC1CCOCC1)c1cc(C(F)(F)F)c(N2CCOCC2)nn1,20.1,7.7
mol_0393,CHEMBL452602,C[C@@H]1CNC[C@H](C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,20.0,7.7
mol_0394,CHEMBL255263,O=C(Cc1ccc(F)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,20.0,7.7
mol_0395,CHEMBL191834,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCOC2=O)cc1,20.0,7.7
mol_0396,CHEMBL496567,CC(C)(C)c1cnc(CSc2cnc(N[C@H]3CC[C@H](N)CC3)s2)o1,20.0,7.7
mol_0397,CHEMBL3648071,C[C@@H](O)[C@@H](C)Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,20.0,7.7
mol_0398,CHEMBL297570,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCCNC3)s2)o1,20.0,7.7
mol_0399,CHEMBL5176691,NCCCCNC(=O)c1ccc(Nc2nc(N[C@H]3CC[C@H](N)CC3)nc3c2ncn3C2CCCC2)cc1,20.0,7.7
mol_0400,CHEMBL603097,COc1ccc2nc3[nH]nc(C)c3c(OC)c2c1,20.0,7.7
mol_0401,CHEMBL3421973,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4c[nH]c5cnccc45)n3)cc2)CC1,20.0,7.7
mol_0402,CHEMBL5908734,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCO)C5)ncc3F)cc2n1C(C)C,19.9,7.7
mol_0403,CHEMBL5933703,CNCCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6(C)CC6)c5c4)n3)ccc2C1,20.0,7.7
mol_0404,CHEMBL254367,O=C(Cc1cccc2ccccc12)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,20.0,7.7
mol_0405,CHEMBL5899535,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C4CC(O)C4)C5)ncc3F)cc2n1C(C)C,20.4,7.69
mol_0406,CHEMBL5939038,CN(C)[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,20.4,7.69
mol_0407,CHEMBL5791509,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CC4CC(O)C4)C5)ncc3F)cc2n1C1CC1,20.4,7.69
mol_0408,CHEMBL2158855,NS(=O)(=O)c1cccc(Nc2nccc(-c3ccnc(N4CC5CCC(C4)O5)c3)n2)c1,21.0,7.68
mol_0409,CHEMBL3644019,C[C@@H](Oc1nc(Nc2ccc(S(=O)(=O)C3CC3)cc2)ncc1C(F)(F)F)C(C)(C)O,21.0,7.68
mol_0410,CHEMBL5938059,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN)C5)ncc3F)cc2n1C(C)(C)C,20.8,7.68
mol_0411,CHEMBL3644022,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=O)(=O)C3CCCC3)cc2)ncc1C(F)(F)F,21.0,7.68
mol_0412,CHEMBL272217,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(OCCc4ccncc4)c32)cc1,21.0,7.68
mol_0413,CHEMBL271182,CCc1ccc2c(c1)NC(=O)/C2=N\Nc1ccc(S(N)(=O)=O)cc1,21.0,7.68
mol_0414,CHEMBL1794054,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(CCc4ccncc4)c32)cc1,21.0,7.68
mol_0415,CHEMBL1800449,Nc1nccc(-c2cc(N3C[C@H](O)[C@@H](O)C3)ccc2O)n1,21.0,7.68
mol_0416,CHEMBL5981008,CC(=N)NCCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,21.0,7.68
mol_0417,CHEMBL5571022,CN(C)C(=O)c1cc2cnc(Nc3ccc(S(N)(=O)=O)cc3)nc2n1C1CCCC1,21.0,7.68
mol_0418,CHEMBL3642648,Fc1ccccc1-c1cc(NCc2cccnc2)n2ncc(Cl)c2n1,21.0,7.68
mol_0419,CHEMBL5172816,NCCCNCCCCNc1ccc(Nc2nc(N[C@H]3CC[C@H](N)CC3)nc3c2ncn3C2CCCC2)cc1,21.0,7.68
mol_0420,CHEMBL4213756,COCCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,21.5,7.67
mol_0421,CHEMBL2035044,CN1C/C=C/CCOc2cc(ccn2)-c2ccnc(n2)Nc2cccc(c2)C1,22.0,7.66
mol_0422,CHEMBL412097,C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccc(Cl)cc21,22.0,7.66
mol_0423,CHEMBL254170,CS(=O)(=O)c1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1,22.0,7.66
mol_0424,CHEMBL1207227,O=C1C(c2c(O)[nH]c3ccc(S(=O)(=O)O)cc23)=Nc2ccccc21,22.0,7.66
mol_0425,CHEMBL4207796,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCF)C5)ncc3F)cc2n1C(C)C,22.5,7.65
mol_0426,CHEMBL5399420,CN1CCN(Cc2ccc(NC(=O)c3n[nH]cc3Nc3ccncn3)cc2)CC1,23.03,7.64
