mol_id,chembl_id,exp_ic50_nM,exp_pIC50,pred_IC50_uM,pred_pIC50,p_bind
mol_0257,CHEMBL102926,10.0,8.0,0.06792808476476926,7.167950630187988,0.8841270208358765
mol_0258,CHEMBL5774332,10.3,7.99,0.00099906607401004,9.00040578842163,0.7711629867553711
mol_0259,CHEMBL5886747,10.3,7.99,0.0006841445279643819,9.164852142333984,0.8371376991271973
mol_0260,CHEMBL6017199,10.4,7.98,0.0019491937194386112,8.710144996643066,0.6655844449996948
mol_0261,CHEMBL4641226,10.8,7.97,0.0018269568359427502,8.738271713256836,0.8918223977088928
mol_0262,CHEMBL421578,10.7,7.97,0.002090295067869719,8.679792404174805,0.9359047412872314
mol_0263,CHEMBL319103,10.7,7.97,0.003963925264713547,8.401874542236328,0.8685110807418823
mol_0264,CHEMBL181114,11.0,7.96,0.005535312291996977,8.256857872009277,0.8179827332496643
mol_0265,CHEMBL3648104,11.0,7.96,0.001146854501776086,8.940491676330566,0.9320844411849976
mol_0266,CHEMBL453895,11.0,7.96,0.013792748640571947,7.860349178314209,0.795609712600708
mol_0267,CHEMBL3644023,11.0,7.96,0.0012904314517032608,8.889265060424805,0.907608687877655
mol_0268,CHEMBL4644893,11.0,7.96,0.0007082278431226832,9.149827003479004,0.8739489316940308
mol_0269,CHEMBL484738,11.0,7.96,0.003719031029999312,8.429570198059082,0.9454731941223145
mol_0270,CHEMBL3642647,11.0,7.96,0.0017907563466483378,8.746963500976562,0.9155700206756592
mol_0271,CHEMBL3648089,11.0,7.96,0.001436418275279021,8.842719078063965,0.8845211267471313
mol_0272,CHEMBL3298982,11.0,7.96,0.05008041632952719,7.300332069396973,0.5888873934745789
mol_0275,CHEMBL4777844,11.5,7.94,0.0007569720056736007,9.120920181274414,0.9305580854415894
mol_0277,CHEMBL82767,12.0,7.92,0.01742938191140958,7.758718013763428,0.6972869634628296
mol_0278,CHEMBL432491,12.0,7.92,0.03497497708805556,7.456242561340332,0.539309024810791
mol_0279,CHEMBL3648085,12.0,7.92,0.0006076690084067909,9.216332912445068,0.921220600605011
mol_0280,CHEMBL456963,12.0,7.92,0.13436122784162285,6.871726036071777,0.714160144329071
mol_0281,CHEMBL4569508,12.0,7.92,0.034476205042654605,7.462480545043945,0.28887391090393066
mol_0282,CHEMBL260103,12.0,7.92,0.005772462524811202,8.238638877868652,0.9080789089202881
mol_0283,CHEMBL3644027,12.0,7.92,0.003848663865044283,8.414690017700195,0.9047561287879944
mol_0284,CHEMBL309573,12.0,7.92,0.002038892646729404,8.690605640411377,0.9162993431091309
mol_0286,CHEMBL3298310,12.0,7.92,0.06085135966413352,7.215729713439941,0.4327825903892517
mol_0287,CHEMBL3644034,12.0,7.92,0.0017852222667366286,8.748307704925537,0.94706791639328
mol_0288,CHEMBL1171949,12.0,7.92,0.031972666819105114,7.495221138000488,0.7020301818847656
mol_0289,CHEMBL4758168,11.9,7.92,0.0005180431782649995,9.28563404083252,0.8985810279846191
mol_0290,CHEMBL3644021,12.0,7.92,0.0011639099992391407,8.934080600738525,0.8718059062957764
mol_0291,CHEMBL311992,12.0,7.92,0.02634852692691067,7.5792436599731445,0.795744776725769
mol_0292,CHEMBL1081263,12.4,7.91,0.10861543175577124,6.964108467102051,0.36553114652633667
mol_0293,CHEMBL103115,12.6,7.9,0.0010248958198851449,8.989320278167725,0.9384978413581848
mol_0294,CHEMBL411490,13.0,7.89,0.004802665228742178,8.318517684936523,0.8445560932159424
mol_0295,CHEMBL405145,13.0,7.89,0.6341792088921641,6.1977880001068115,0.551802396774292
mol_0298,CHEMBL148580,13.0,7.89,0.18602040067727224,6.7304394245147705,0.6607552766799927
mol_0299,CHEMBL3298984,13.0,7.89,0.05999338290243392,7.221896648406982,0.7019591331481934
mol_0300,CHEMBL5267773,13.0,7.89,2.95093886807086,5.5300397872924805,0.1287091225385666
mol_0301,CHEMBL1964258,13.0,7.89,0.0013998913248195832,8.85390567779541,0.8644919395446777
mol_0302,CHEMBL3298309,13.0,7.89,0.09495333303143756,7.022489786148071,0.3772701621055603
mol_0303,CHEMBL515839,13.0,7.89,0.051450267167233485,7.288612365722656,0.8823375701904297
mol_0304,CHEMBL5979303,13.1,7.88,0.0005228901874517495,9.28158950805664,0.7520860433578491
mol_0305,CHEMBL473631,13.3,7.88,0.159299961756579,6.797784328460693,0.3385624289512634
mol_0306,CHEMBL4213219,13.5,7.87,0.0009751830658807648,9.010913848876953,0.7974783778190613
mol_0307,CHEMBL5844694,13.4,7.87,0.0008879472079745984,9.051612854003906,0.7713478803634644
mol_0308,CHEMBL556881,14.0,7.85,0.004702491241075119,8.327672004699707,0.8914283514022827
mol_0309,CHEMBL402759,14.0,7.85,0.04646063815889819,7.33291482925415,0.7516999244689941
mol_0310,CHEMBL3648093,14.0,7.85,0.001124707770729238,8.948960304260254,0.8976479172706604
